Date,Description,Debit,Credit,Balance
22/11/2025,Eftpos Debit                  22Nov09:58 Paypal *Amaysimmobi      Sydney       Au,30.00,,2551.35,
28/10/2025,Foreign Currency Conversn Fee,1.99,,2581.35,
28/10/2025,Visa Purchase O/Seas          25Oct Usd43.06 Google *Fi R5Bvsp,66.34,,2583.34,
27/09/2025,Foreign Currency Conversn Fee,2.71,,2649.68,
27/09/2025,Visa Purchase O/Seas          25Sep Usd59.59 Google *Fi Vxbxvj,90.66,,2652.39,
27/08/2025,Foreign Currency Conversn Fee,2.78,,2743.05,
27/08/2025,Visa Purchase O/Seas          25Aug Usd59.59 Google Fi 3Pgdvs,92.93,,2745.83,
25/08/2025,Foreign Currency Conversn Fee,.98,,2838.76,
25/08/2025,Visa Purchase O/Seas          22Aug Usd21.15 Amazon Mktpl*Hc1Pi2V,32.98,,2839.74,
28/07/2025,Foreign Currency Conversn Fee,2.71,,2872.72,
28/07/2025,Visa Purchase O/Seas          25Jul Usd59.57 Google Fi 5Xxmjl,90.48,,2875.43,
12/07/2025,Foreign Currency Conversn Fee,7.48,,2965.91,
12/07/2025,Visa Purchase O/Seas          11Jul Usd162.75 Baywhee*Subscription,249.42,,2973.39,
10/07/2025,Visa Purchase                 07Jul Amznprimeau Membersh Sydney So,79.00,,3222.81,
27/06/2025,Foreign Currency Conversn Fee,2.77,,3301.81,
27/06/2025,Visa Purchase O/Seas          25Jun Usd59.60 Google Fi 2Xhkb2,92.35,,3304.58,
27/05/2025,Foreign Currency Conversn Fee,2.79,,3396.93,
27/05/2025,Visa Purchase O/Seas          25May Usd59.60 Google Fi Hp5846,93.04,,3399.72,
28/04/2025,Foreign Currency Conversn Fee,2.90,,3492.76,
28/04/2025,Visa Purchase O/Seas          25Apr Usd61.37 Google Fi Wqk4Vw,96.78,,3495.66,
19/04/2025,Foreign Currency Conversn Fee,1.20,,3592.44,
19/04/2025,Visa Purchase O/Seas          16Apr Usd25.39 House Of Dim Sum Inc,40.17,,3593.64,
15/04/2025,Foreign Currency Conversn Fee,1.89,,3633.81,
15/04/2025,Visa Purchase O/Seas          11Apr Usd39.03 Noodles Fresh,63.17,,3635.70,
09/04/2025,Foreign Currency Conversn Fee,2.46,,3698.87,
09/04/2025,Visa Purchase O/Seas          07Apr Usd48.92 Wal-Mart #3455,82.17,,3701.33,
09/04/2025,Tfr Wdl BPAY Internet         09Apr03:00 001128602912307060  Tax Office Payments,471.00,,3783.50,
04/04/2025,Visa Purchase                 01Apr Google Gsuite_Appric Sydney,110.88,,4254.50,
28/03/2025,Foreign Currency Conversn Fee,1.26,,4365.38,
28/03/2025,Visa Purchase O/Seas          25Mar Usd26.44 Churchs Chicken 185,42.14,,4366.64,
27/03/2025,Foreign Currency Conversn Fee,2.93,,4408.78,
27/03/2025,Visa Purchase O/Seas          25Mar Usd61.34 Google Fi B2Lvhc,97.99,,4411.71,
24/03/2025,Foreign Currency Conversn Fee,2.02,,4509.70,
24/03/2025,Visa Purchase O/Seas          20Mar Usd42.66 Pho Dang,67.51,,4511.72,
24/03/2025,Osko Withdrawal               23Mar11:22 Gpu Taiyang Zhang,4304.16,,4579.23,
24/03/2025,Internet Deposit              23Mar11:20 From 0000433593770,,8000.00,8883.39,
22/03/2025,Foreign Currency Conversn Fee,103.80,,883.39,
22/03/2025,Visa Purchase O/Seas          20Mar Usd2186.51 Sq *Nvidia Gtc,3460.21,,987.19,
21/03/2025,Foreign Currency Conversn Fee,56.97,,4447.40,
21/03/2025,Visa Cash Advance             19Mar Usd1200.00 *Washington Square,1899.03,,4504.37,
20/03/2025,Internet Deposit              20Mar13:27 From 0000433593770,,3000.00,6403.40,
19/03/2025,Foreign Currency Conversn Fee,1.17,,3403.40,
19/03/2025,Visa Purchase O/Seas          16Mar Usd24.52 Arbys 0256,39.08,,3404.57,
15/03/2025,Visa Purchase                 13Mar Ato Payment          Sydney,471.00,,3443.65,
13/03/2025,Foreign Currency Conversn Fee,57.48,,3914.65,
13/03/2025,Visa Cash Advance             11Mar Usd1200.00 *Van Ness Financial,1916.01,,3972.13,
11/03/2025,Internet Deposit              11Mar14:49 From 0000433593770,,3000.00,5888.14,
06/03/2025,Foreign Currency Conversn Fee,2.90,,2888.14,
06/03/2025,Visa Cash Advance             04Mar Usd60.00 *Van Ness Financial,96.71,,2891.04,
05/03/2025,Foreign Currency Conversn Fee,83.23,,2987.75,
05/03/2025,Visa Purchase O/Seas          04Mar Usd1721.25 Rainfoc*Nvidia Gtcs2,2774.42,,3070.98,
04/03/2025,Internet Deposit              04Mar12:58 From 0000433593770,,4000.00,5845.40,
18/02/2025,Foreign Currency Conversn Fee,2.85,,1845.40,
18/02/2025,Visa Cash Advance             15Feb Usd60.00 *Mission Plaza,95.12,,1848.25,
14/02/2025,Foreign Currency Conversn Fee,.80,,1943.37,
14/02/2025,Visa Purchase O/Seas          11Feb Usd16.71 Tst*K Five Fifty - R,26.83,,1944.17,
13/02/2025,Foreign Currency Conversn Fee,48.16,,1971.00,
13/02/2025,Visa Cash Advance             11Feb Usd1000.00 *Market-Van Ness,1605.39,,2019.16,
12/02/2025,Foreign Currency Conversn Fee,47.99,,3624.55,
12/02/2025,Visa Cash Advance             10Feb Usd1000.00 *Market-Van Ness,1599.74,,3672.54,
11/02/2025,Foreign Currency Conversn Fee,26.39,,5272.28,
